,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
56,57,SUI,Marc,Rosset,Marc Rosset,783,433,1:33,6153,3422,78.54%,,156.81,61.93%
57,58,SWE,Jonas,Bjorkman,Jonas Bjorkman,776,414,1:34,3098,2504,70.51%,,160.79,
58,59,SUI,Jakob,Hlasek,Jakob Hlasek,771,438,1:29,1803,1059,73.95%,,161.43,60.36%
59,59,CZE,Jan,Kodes,Jan Kodes,771,490,,,,,,,
60,61,GBR,Tim,Henman,Tim Henman,770,496,1:45,4309,2600,74.49%,50.80%,165.50,62.83%
61,62,USA,Vitas,Gerulaitis,Vitas Gerulaitis,767,534,,,,,,,
62,63,FIN,Jarkko,Nieminen,Jarkko Nieminen,756,408,1:38,2183,1482,,50.46%,158.54,60.34%
63,64,USA,Robert,Lutz,Robert Lutz,746,450,,,,,,,
64,65,SWE,Thomas,Enqvist,Thomas Enqvist,745,448,1:32,5431,3261,75.70%,49.61%,158.69,
65,66,USA,Jim,Courier,Jim Courier,743,506,1:39,2852,1423,74.21%,53.29%,164.60,63.50%
66,67,AUS,Phil,Dent,Phil Dent,742,397,,,,,,,
67,68,ESP,Juan,Ferrero,Juan Ferrero,741,479,1:49,2887,1609,,54.78%,161.81,62.51%
68,69,USA,John,Isner,John Isner,733,454,1:50,13229,1617,78.66%,56.15%,176.33,70.83%
69,69,AUS,Ken,Rosewall,Ken Rosewall,733,540,,,,,,,
70,71,ESP,Francisco,Clavet,Francisco Clavet,728,388,1:39,1227,1497,,51.71%,155.15,
71,72,IND,Vijay,Amritraj,Vijay Amritraj,726,411,,,,,,,
72,73,CRO,Ivan,Ljubicic,Ivan Ljubicic,725,429,1:50,8117,1687,77.52%,51.91%,162.19,64.99%
73,74,GBR,Greg,Rusedski,Greg Rusedski,723,436,1:33,7589,3145,79.81%,52.32%,165.05,66.18%
74,75,ESP,Emilio,Sanchez,Emilio Sanchez,722,432,1:41,990,,,50.63%,154.82,
75,75,RSA,Raymond,Moore,Raymond Moore,722,341,,,,,,,
76,77,NZL,Onny,Parun,Onny Parun,721,377,,,,,,,
77,77,CRO,Zeljko,Franulovic,Zeljko Franulovic,721,412,,,,,,,
78,79,ESP,Alex,Corretja,Alex Corretja,719,438,1:46,2617,1633,,52.19%,159.16,59.94%
79,80,ITA,Fabio,Fognini,Fabio Fognini,718,384,1:43,2288,2743,,,159.45,
80,80,ESP,Sergi,Bruguera,Sergi Bruguera,718,447,1:28,2181,1046,,50.67%,149.89,
81,82,CRO,Ivo,Karlovic,Ivo Karlovic,717,371,1:42,13743,2466,82.69%,53.30%,169.85,70.98%
82,83,AUS,Rod,Laver,Rod Laver,716,571,,,,,,,
83,84,FRA,Cedric,Pioline,Cedric Pioline,707,389,1:42,3687,2363,73.51%,49.47%,166.88,60.97%
